"","X","fecha","hora","nido","amb","patron","ts","event_number","alpha","T_s","day_since_laying"
"1440",1440,"11/6/2011","14:04:23",24.992,23.304,"warming",2011-11-06 14:04:23,1,-0.0752686625984588,25.2791527075951,3
"1441",1441,"11/6/2011","14:05:23",25.113,23.328,"warming",2011-11-06 14:05:23,1,-0.0752686625984588,25.2791527075951,3
"1442",1442,"11/6/2011","14:06:23",25.065,23.376,"warming",2011-11-06 14:06:23,1,-0.0752686625984588,25.2791527075951,3
"1443",1443,"11/6/2011","14:07:23",25.089,23.352,"warming",2011-11-06 14:07:23,1,-0.0752686625984588,25.2791527075951,3
"1444",1444,"11/6/2011","14:08:23",25.089,23.352,"warming",2011-11-06 14:08:23,1,-0.0752686625984588,25.2791527075951,3
"1445",1445,"11/6/2011","14:09:23",25.065,23.4,"warming",2011-11-06 14:09:23,1,-0.0752686625984588,25.2791527075951,3
"1446",1446,"11/6/2011","14:10:23",25.089,23.4,"warming",2011-11-06 14:10:23,1,-0.0752686625984588,25.2791527075951,3
"1447",1447,"11/6/2011","14:11:23",25.089,23.376,"warming",2011-11-06 14:11:23,1,-0.0752686625984588,25.2791527075951,3
"1448",1448,"11/6/2011","14:12:23",25.089,23.376,"warming",2011-11-06 14:12:23,1,-0.0752686625984588,25.2791527075951,3
"1449",1449,"11/6/2011","14:13:23",25.089,23.376,"warming",2011-11-06 14:13:23,1,-0.0752686625984588,25.2791527075951,3
"1450",1450,"11/6/2011","14:14:23",25.089,23.328,"warming",2011-11-06 14:14:23,1,-0.0752686625984588,25.2791527075951,3
"1451",1451,"11/6/2011","14:15:23",25.113,23.304,"warming",2011-11-06 14:15:23,1,-0.0752686625984588,25.2791527075951,3
"1452",1452,"11/6/2011","14:16:23",25.283,23.304,"warming",2011-11-06 14:16:23,1,-0.0752686625984588,25.2791527075951,3
"1453",1453,"11/6/2011","14:17:23",25.186,23.328,"warming",2011-11-06 14:17:23,1,-0.0752686625984588,25.2791527075951,3
"1454",1454,"11/6/2011","14:18:23",25.21,23.28,"warming",2011-11-06 14:18:23,1,-0.0752686625984588,25.2791527075951,3
"1455",1455,"11/6/2011","14:19:23",25.307,23.232,"warming",2011-11-06 14:19:23,1,-0.0752686625984588,25.2791527075951,3
"1456",1456,"11/6/2011","14:20:23",25.234,23.28,"warming",2011-11-06 14:20:23,1,-0.0752686625984588,25.2791527075951,3
"1457",1457,"11/6/2011","14:21:23",25.234,23.208,"warming",2011-11-06 14:21:23,1,-0.0752686625984588,25.2791527075951,3
"1458",1458,"11/6/2011","14:22:23",25.21,23.208,"warming",2011-11-06 14:22:23,1,-0.0752686625984588,25.2791527075951,3
"1459",1459,"11/6/2011","14:23:23",25.21,23.232,"warming",2011-11-06 14:23:23,1,-0.0752686625984588,25.2791527075951,3
"1460",1460,"11/6/2011","14:24:23",25.186,23.256,"warming",2011-11-06 14:24:23,1,-0.0752686625984588,25.2791527075951,3
"1461",1461,"11/6/2011","14:25:23",25.186,23.208,"warming",2011-11-06 14:25:23,1,-0.0752686625984588,25.2791527075951,3
"1462",1462,"11/6/2011","14:26:23",25.21,23.521,"warming",2011-11-06 14:26:23,1,-0.0752686625984588,25.2791527075951,3
"1463",1463,"11/6/2011","14:27:23",25.21,23.569,"warming",2011-11-06 14:27:23,1,-0.0752686625984588,25.2791527075951,3
"1464",1464,"11/6/2011","14:28:23",25.21,23.448,"warming",2011-11-06 14:28:23,1,-0.0752686625984588,25.2791527075951,3
"1465",1465,"11/6/2011","14:29:23",25.234,23.497,"warming",2011-11-06 14:29:23,1,-0.0752686625984588,25.2791527075951,3
"1466",1466,"11/6/2011","14:30:23",25.162,23.328,"warming",2011-11-06 14:30:23,1,-0.0752686625984588,25.2791527075951,3
"1467",1467,"11/6/2011","14:31:23",25.162,23.352,"warming",2011-11-06 14:31:23,1,-0.0752686625984588,25.2791527075951,3
"1468",1468,"11/6/2011","14:32:23",25.21,23.28,"warming",2011-11-06 14:32:23,1,-0.0752686625984588,25.2791527075951,3
"1469",1469,"11/6/2011","14:33:23",25.307,23.4,"warming",2011-11-06 14:33:23,1,-0.0752686625984588,25.2791527075951,3
"1470",1470,"11/6/2011","14:34:23",25.21,23.088,"on_asymptote",2011-11-06 14:34:23,2,-0.0752686625984588,25.2791527075951,3
"1471",1471,"11/6/2011","14:35:23",25.234,22.968,"on_asymptote",2011-11-06 14:35:23,2,-0.0752686625984588,25.2791527075951,3
"1472",1472,"11/6/2011","14:36:23",25.21,23.016,"on_asymptote",2011-11-06 14:36:23,2,-0.0752686625984588,25.2791527075951,3
"1473",1473,"11/6/2011","14:37:23",25.234,23.16,"on_asymptote",2011-11-06 14:37:23,2,-0.0752686625984588,25.2791527075951,3
"1474",1474,"11/6/2011","14:38:23",25.307,22.92,"on_asymptote",2011-11-06 14:38:23,2,-0.0752686625984588,25.2791527075951,3
"1475",1475,"11/6/2011","14:39:23",25.355,22.872,"on_asymptote",2011-11-06 14:39:23,2,-0.0752686625984588,25.2791527075951,3
"1476",1476,"11/6/2011","14:40:23",25.137,23.112,"on_asymptote",2011-11-06 14:40:23,2,-0.0752686625984588,25.2791527075951,3
"1477",1477,"11/6/2011","14:41:23",25.113,22.848,"on_asymptote",2011-11-06 14:41:23,2,-0.0752686625984588,25.2791527075951,3
"1478",1478,"11/6/2011","14:42:23",25.21,23.016,"on_asymptote",2011-11-06 14:42:23,2,-0.0752686625984588,25.2791527075951,3
"1479",1479,"11/6/2011","14:43:23",25.283,23.16,"on_asymptote",2011-11-06 14:43:23,2,-0.0752686625984588,25.2791527075951,3
"1480",1480,"11/6/2011","14:44:23",25.283,22.824,"on_asymptote",2011-11-06 14:44:23,2,-0.0752686625984588,25.2791527075951,3
"1481",1481,"11/6/2011","14:45:23",25.331,22.896,"on_asymptote",2011-11-06 14:45:23,2,-0.0752686625984588,25.2791527075951,3
"1482",1482,"11/6/2011","14:46:23",25.331,22.944,"on_asymptote",2011-11-06 14:46:23,2,-0.0752686625984588,25.2791527075951,3
"1483",1483,"11/6/2011","14:47:23",25.331,23.064,"on_asymptote",2011-11-06 14:47:23,2,-0.0752686625984588,25.2791527075951,3
"1484",1484,"11/6/2011","14:48:23",25.404,22.968,"on_asymptote",2011-11-06 14:48:23,2,-0.0752686625984588,25.2791527075951,3
"1485",1485,"11/6/2011","14:49:23",25.307,22.896,"on_asymptote",2011-11-06 14:49:23,2,-0.0752686625984588,25.2791527075951,3
"1486",1486,"11/6/2011","14:50:23",25.258,22.896,"on_asymptote",2011-11-06 14:50:23,2,-0.0752686625984588,25.2791527075951,3
"1487",1487,"11/6/2011","14:51:23",25.258,22.944,"on_asymptote",2011-11-06 14:51:23,2,-0.0752686625984588,25.2791527075951,3
"1488",1488,"11/6/2011","14:52:23",25.234,22.92,"on_asymptote",2011-11-06 14:52:23,2,-0.0752686625984588,25.2791527075951,3
